Id,Episode,Apologizer,Apologee,Apologizer_Gender,Apologee_Gender,Older,More_Power,Response,Text
30,S02E01,Rebecca,Ted,Woman,Man,Apologizer,Apologizer,Dismiss,"Am I allowed to speak yet? Oh, sorry, Ted. It's just a little bit of girl talk about a gentleman suitor I've gone out with a few times. "
31,S02E01,Roy,Ms. Bowen,Man,Woman,Apologizer,Apologizer,Dismiss,"Coach Kent. They're eight years old. You can't call them little pricks. Sorry, Ms. Bowen. Even when they're being little pricks. "
32,S02E01,Rebecca,Ted,Woman,Man,Apologizer,Apologizer,Accept,"Oh, hi, Ted. Yikes. I haven't seen someone that disappointed to see me since I wore a red baseball cap to a Planned Parenthood fundraiser. Sorry, Ted. You're right. I... I was just hoping you were Keeley. That's okay. "
33,S02E01,Ted,Diamond Dogs,Man,Man,Apologizer,Apologizer,Dismiss,"Hey, sorry I'm late, fellas. I was helping the boss pick out a nail polish color for her date tonight."
34,S02E01,Ted,Dr. Sharon,Man,Woman,Apologizer,Apologizer,Dismiss,"Oh, okay, all right. Um, well, Doc... Doctor. Right, yes, of course. Sorry. Um, Doctor."
35,S02E01,Rebecca,John Wingsnight,Woman,Man,Apologee,Apologizer,Accept,"Are you breaking up with me? I'm so sorry. I... I actually didn't know I was going to do that... No, no, it's... it's all right. ( Laughs nervously ) ( Sighs ) "
36,S02E01,Keeley,Roy,Woman,Man,Apologee,Apologee,Thanks,"I feel like a little sh1t. I used our fun night out together to try and change your mind about something you don't wanna do. That was tacky, and I'm really sorry for it. You're very sweet. Thank you. "
37,S02E02,Ted,Dr. Sharon,Man,Woman,Apologizer,Apologizer,Dismiss,"Ted Lasso Welcome Wagon has arrived. Please don't barge in here like that. I could have been in a session. Oh, right. Of course, I'm... I'm sorry."
38,S02E02,Sam,Ted,Man,Man,Apologee,Apologee,Accept,"Of course they did. Coach, I'm so sorry. It's okay, Sam, all right? You are a leader on this team. I want you to speak your mind."
39,S02E02,Ted,Dr. Sharon,Man,Woman,Apologizer,Apologizer,Accept,"Good night, Doc... tor! Doctor. Sorry. You can call me Doc. It's okay. "
40,S02E03,Jamie,Team,Man,Man,Apologee,Apologizer,Anger,I know I wasn't the greatest teammate. I did some shitty things. I said some shitty things. But I want each and every one of you to know that I'm truly sorry and I'm ready to do whatever it takes to make it up to ya. Yeah? 
41,S02E03,Jamie,Colin,Man,Man,Apologee,Apologizer,Anger,"You called me a jaundiced worm. Right, yeah. And I'm sorry about that, Colin. "
42,S02E03,Sam,Keeley,Man,Woman,Apologee,Apologizer,Accept,"I can't be the face of one of their subsidiaries. Hell, yeah. Look, Keeley, I'm really sorry. I know how hard you worked for this. It's okay. REBECCA Of course you don't have to do it, Sam. I'll take care of it."
43,S02E04,Keeley,Roy,Woman,Man,Apologee,Apologee,Dismiss,Oi! She feels bad enough! I'm so sorry. I really tried. ( Gags ) 
44,S02E05,Ted,Nate,Man,Man,Apologizer,Apologizer,Dismiss,"I'll do it. ( chuckles ) Oh, you're being serious? You didn't laugh. You knew he was being serious? Yeah, man. Shoot. Busted. Um, I'm sorry about that, Nate. But I do appreciate the offer, you know? "
45,S02E05,Ted,Beard,Man,Man,Apologizer,Apologizer,Dismiss,"Hey, I'm sorry about that, Coach. Set your alarm for p.m. instead of a.m.? Yes, sir, Steve Kerr. "
46,S02E08,Roy,Phoebe,Man,Woman,Apologizer,Apologizer,Dismiss,"Uncle Roy, can we get ice cream? f*ck no! Sorry. ( Clears throat ) F-no! ( Stammering )"
47,S02E08,Ted,Dr. Sharon,Man,Man,Apologizer,Apologizer,Dismiss,"Would you like some tea? Oh, hell no. No, I-I mean no, thank you. Sorry, just don't care for that garbage. "
48,S02E08,Ted,Mike Dean,Man,Man,Apologee,Apologizer,Accept,"Can't say that, mate. I'm sorry. There you go. Sorry about that, Mike. We all know you have a pen1s."
49,S02E10,Roy,Keeley,Man,Woman,Apologizer,Apologizer,Accept,"But it did make me realize, we only got this one life... and I don't wanna waste a second of it. I love you, Keeley. I'm sorry. "
50,S02E10,Ted,Rebecca,Man,Woman,Apologee,Apologee,Accept,"TED Well, I'm sorry that I was late today. How about that? ( chuckles )"
51,S02E11,Ted,Edwin,Man,Man,Apologizer,Apologee,Accept,"My most sincere apologies. I was told your training would be finished by now. Oh, that's okay. Hakuna matata, right? ( chuckles ) ( chuckles ) Oh, I'm sorry. That was kind of racist, wasn't it? Oh, you know, uh, Timon and Pumbaa are cartoons. So I'll let it slide."
52,S02E11,Nate,Keeley,Man,Woman,Apologee,Apologizer,Accept,"'Cause once you do that, then everything just sort of falls in... God. I'm so s... I'm so sorry. I didn't... That's okay. No, it's not. Yes, it is. Don't worry about it. No. No, it's fine... N... It was... No, it was... "
53,S02E11,Dr. Sharon,Ted,Woman,Man,Apologee,Apologee,Accept,I feel more comfortable writing goodbye than saying it. I'm sorry. It's okay. I understand. 
54,S02E11,Roy,Keeley,Man,Woman,Apologizer,Apologizer,Accept,"Hey. I'm sorry I'm late. You're not late, babe. Your outfit's in the closet. "
55,S02E12,Jamie,Roy,Man,Man,Apologee,Apologee,Accept,"So, at Rebecca's dad's funeral, I told Keeley that I still loved her. It was wrong, and I shouldn't have done it, but I ain't used to being around dead people. It... It just... It did something to me, emotionally, you know? But I still... I shouldn't have done it, and it was wrong, but I just need you to know that I respect you, and... and I respect Keeley, and I respect your relationship, and I will never ever do anything like that ever again. f*ck! ( Door slams ) "
56,S02E12,Keeley,Roy,Woman,Man,Apologee,Apologee,Dismiss,"They didn't use any of the pictures with you in them. sh1t, I'm so sorry, Roy. That is not cool. I'm gonna reach out and change that. Don't you dare. Don't you change a f*cking thing. You look powerful. You're f*cking gorgeous."
57,S02E12,Ted,Nate,Man,Man,Apologizer,Apologizer,Anger,"And if I didn't tell you how important you were to me enough, I'm sorry about that. No, no. You know what? You're full of sh1t. Just f*ck you, Ted. "
