ep,sadness,joy,fear,disgust,anger,details
S02E01,0.141915,0.653575,0.088771,0.060336,0.078631,"The episode starts mid season, as Richmond has drawn their last seven games. Dani prepares to kick a game winning penalty, but he accidentally kills Richmond's greyhound mascot Earl as he jumps in front of the goal to attack a bird. Dani is guilt-ridden and loses his football skills. Meanwhile, a newly retired Roy is coaching an Under 9 Girls Football team and dating Keeley. They go on a double date with Rebecca's new boyfriend John, but Roy convinces Rebecca after the date that she deserves someone better. To help Dani recover from his ""yips"", Richmond hires sports psychologist Sharon Fieldstone, whose stern and disciplined attitude clashes with Ted. Rebecca breaks things off with John. After meeting with Sharon, Dani regains his enthusiasm for football and converts a corner kick goal in practice. As a result, more players begin to request sessions with Sharon. With his yoga group, Roy watches Lust Conquers All (a Love Island-style reality show) that Jamie is revealed to be a contestant on. Roy is livid with his group for liking Jamie."
S02E02,0.142586,0.59637,0.076998,0.061581,0.07078,"Jamie is voted out of Lust Conquers All, leading him to unsuccessfully attempt a return to Manchester City. Higgins hires Sharon for the rest of the season. Jamie approaches Ted to rejoin Richmond and reveals that he left Manchester City to anger his overbearing father. Ted politely declines his request to rejoin. When a picture of their conversation goes viral, Sam believes Jamie, who repeatedly bullied him, is returning and angrily storms off during practice. Ted assures Sam that he said no. After the girls' team Roy coaches lose their championship, Keeley convinces Roy to try out a pundit job at Sky Sports. Despite his heavy cursing drawing the disapproval of his other pundits, Roy's commentary is positively received by the public and the network asks him to return. Wanting to give Jamie a second chance, Ted reconsiders adding him to the team and polls the Diamond Dogs on their opinions. Higgins votes for the addition, while Beard and Nate vote against it. Roy admits to Keeley that he enjoyed being on the show. Jamie rejoins Richmond, to the players' confusion."
S02E03,0.08979,0.604864,0.060643,0.068439,0.10571,"Jamie attempts to apologize to the Richmond players for his past actions and bullying, but the team is unmoved. Rebecca's teenage goddaughter Nora comes to visit while her mother, Sassy, attends a conference. After watching Rebecca's futile efforts to entertain Nora with childish activities, Roy advises Rebecca to invite Nora to spend a day with her at work. Keeley organizes a photoshoot with Sam for Dubai Air, the team's sponsor, but Sam's father informs him that Dubai Air's corporate owner is an oil company polluting his home country, Nigeria. Keeley directs Jamie to talk to Sharon for help in getting back in the team's good graces. Sam withdraws from Dubai Air's ad campaign, leading the company to demand that Rebecca fire Sam. Nora convinces Rebecca to hold firm, ultimately calling the company's bluff. During Richmond's next game, Sam, Isaac, and Winchester cover their uniforms' Dubai Air logos with black tape in protest. Jamie leads the rest of the players to follow suit. In the postgame press conference, Ted allows Sam to speak on Dubai Air's malfeasance and the Nigerian government's corruption. Despite losing the game, the team celebrates breaking their draw streak. Jamie toasts Sam for his courage, and the two reconcile."
S02E05,0.136494,0.586045,0.086614,0.060154,0.122232,"Nate, in order to impress his parents on their anniversary, timidly tries to reserve a window seat at their favorite restaurant, but the hostess instead offers a seat near the back. Richmond continues to struggle, in part because team captain Isaac is overthinking and struggles to lead. Nate offers to speak to Isaac, but Ted instead reaches out to Roy. Roy takes Ted and Isaac to a soccer field near his childhood home to play a pickup match with some neighborhood footballers, reminding Isaac to have fun while playing. Isaac regains his joy for the game and dominates, to Roy's delight. Afterward, Ted offers Roy a coaching job on Richmond, which Roy declines. Keeley and Rebecca teach Nate how to be more assertive and confident, allowing him to successfully seat his family at the window table. Rebecca becomes interested in her new match on Bantr, a dating app co-owned by Keeley and sponsoring Richmond. While commentating on his Soccer Saturday show, Roy watches a newly enthusiastic Isaac on the pitch and realizes he misses being involved with the game. He makes his way to Richmond's stadium, where he joins Ted's coaching staff, to the applause of the Richmond supporters and Nate's chagrin."
S02E06,0.174453,0.583909,0.103934,0.085835,0.095482,"With Roy Kent on the coaching staff, AFC Richmond is on a hot streak. Coach Beard is back with Jane, which worries Higgins, who is advised by Ted and Nate against telling him. Jamie is upset that Roy refuses to give him coaching advice; Roy relents and tells Jamie he needs to occasionally bring forth his brash and aggressive personality on the pitch. Rebecca, seeing men from another dating site while continuing to flirt with her mysterious Bantr match, gets a visit from her mother, who has just left her father. At lunch with her mother, Rebecca tells Ted and Keeley that her parents separate every few years, only to quickly reconcile. While in a close game against Tottenham Hotspur in the quarter-final of the FA Cup, all four coaches give Jamie the signal to play selfishly, raising their middle finger at him, leading to a goal from Jamie. Ted has a panic attack and leaves the pitch. With Richmond in disarray, Spurs score. Without Ted, Nate steps in and calls a triple substitution that leads to a game-winning score for Richmond. Rebecca looks for Ted in the locker room but cannot find him. Rebecca's Bantr match is revealed to be Sam. Higgins tells Beard his concerns; Beard is appreciative and embraces him, but still leaves with Jane. As Dr. Sharon goes to her office, she finds Ted waiting and he asks for help."
S02E07,0.495398,0.594804,0.079539,0.551175,0.087703,"Ted's first two sessions with Sharon prove fruitless: he leaves the first almost immediately, and storms out of the second after expressing his skepticism and contempt towards psychotherapy. During the third visit, however, Ted apologizes for his outburst and decides to commit to the therapy process. Roy unwittingly begins spending every moment he can with Keeley, to the point where she feels smothered; the two fight after Roy learns that Keeley has been complaining about his overbearing behavior to Rebecca and others. Thanks to Jamie, Roy later comes to understand that Keeley needs space, and makes amends by running her a candlelit rose bath to enjoy alone in their home. Nate sees himself going viral on Twitter for the triple-substitution that resulted in Richmond's recent win, but his insecurity worsens when his stern father advises humility instead of praising his achievement. As a result, Nate begins behaving cruelly to others in the locker room – first to Colin, a young Welsh player who used to bully him, and later to Will, the new kit man."
S02E08,0.602381,0.561311,0.112429,0.084454,0.115153,"Sharon suffers a concussion after being hit by a car while biking. Ted brings her home from the hospital and sees a number of empty wine and spirit bottles. Rebecca and Sam anonymously arrange a dinner date, and find out upon arriving at the restaurant that they are each other's Bantr matches. Rebecca is initially apprehensive, but Sam convinces her to have dinner with him platonically, which they both enjoy. The two kiss when they return to Rebecca's house, but agree not to escalate the relationship further. Roy is called in to Phoebe's school and realizes that his swearing is having an effect on her. Richmond plays at Wembley Stadium for the first time against Manchester City, but suffers a harsh loss. After the game, Jamie is bullied over the loss by his abusive father James in the locker room in front of his teammates and coaches. Jamie finally retaliates and strikes his father, whom Beard escorts out; Roy embraces Jamie, who breaks down crying in his arms. The scene shakes Ted into calling Sharon and confessing that his father died by suicide when Ted was 16. Rebecca and Sam ultimately spend the night together."
S02E10,0.538253,0.542163,0.097108,0.124802,0.120127,"Rebecca and Sam continue their relationship in secret for several weeks. One morning, Rebecca's mother informs her that her father has died. The entire Richmond team attends the funeral, but Ted has a panic attack and calls Sharon for a therapy session. Rupert and Bex come to the funeral uninvited with their newborn daughter, infuriating Rebecca. Keeley and Sassy deduce that Rebecca is secretly in a relationship, and Keeley correctly guesses it is with Sam. Rebecca tells her mother she does not want eulogize her father, as she watched him cheat on her as a child, but her mother reveals that she knew and loved him despite his imperfections. At the same time, Ted describes his father's death to Sharon for the first time, and arrives late for the funeral. Instead of giving a traditional eulogy, Rebecca leads the mourners in singing ""Never Gonna Give You Up,"" a song that her parents continued to like and find meaningful. After the service, Jamie admits to Keeley that he loves her. Rupert tells Rebecca he will give her the remaining shares of Richmond, and briefly converses with Nate. Rebecca ends her relationship with Sam, fearing heartbreak, but grows closer to her mother."
S02E11,0.133089,0.618034,0.083405,0.05127,0.571829,"Sam scores the first hat-trick of his career. Ghanaian billionaire Edwin Akufo visits Richmond and informs Rebecca that he wants to buy Sam as a player. Akufo elaborates to Sam that he wants to buy Raja Casablanca and sign an ensemble of Africa's most talented players, predicting that an African team will win the FIFA World Cup within 20 years. Sam is given three days to consider the offer, though Rebecca pleads with him not to go. Nate continues to feel the frustration of receiving little credit for developing the team's tactics. While trying on new suits, he impulsively kisses Keeley. During Roy and Keeley's photoshoot for the latter's magazine profile, Keeley admits Nate's kiss and Jamie's confession of love at the funeral, and Roy tells her he spent 3 hours with Phoebe’s teacher, leaving both shaken. Ted learns that Sharon left before her last day, and he tracks her down to give her the team's parting gift. Later, Ted receives a text message from Trent Crimm tipping him off about a forthcoming article on Ted's matchday panic attack, and that Nate was his anonymous source."
S02E12,0.142151,0.525087,0.652899,0.074984,0.091337,"Ted receives the club's full support after the news of his panic attack. He focuses on the season's final match, which would determine Richmond's promotion into the Premier League. Keeley learns Bantr's VC wants to finance her own PR firm. While Keeley celebrates with an overjoyed Rebecca, they discover Rupert has bought West Ham United. Roy forgives Jamie and Nate for sharing their affections with Keeley, but worries she will leave him. At half-time during the match, Nate tries to abandon his false 9 tactic, but the players elect to stick with it. Ted asks Nate why he is upset with him. Nate tearfully responds that Ted continuously neglected him since joining the coaching staff. Dani scores an equalizing penalty to secure Richmond's promotion. The team and supporters celebrate, but Nate walks off dejected. Sam decides to stay at Richmond, to Akufo's chagrin, telling Rebecca he wanted to benefit his own personal journey. Ted runs into Trent Crimm, who was fired as a reporter after revealing his anonymous source. Roy tries to go on holiday with Keeley, but an already overworked Keeley encourages Roy to go himself. Sam leases a storefront to start a Nigerian restaurant. Two months later, Rupert greets the newest member of his West Ham coaching staff: Nate."
